Question,Option,X,Y
1,A,46,72
1,B,76,72
1,C,106,72
1,D,136,72
1,E,168,72
2,A,46,102
2,B,76,104
2,C,108,104
2,D,138,104
2,E,168,104
3,A,46,134
3,B,76,134
3,C,108,134
3,D,138,134
3,E,168,134
4,A,46,164
4,B,76,164
4,C,108,164
4,D,138,164
4,E,168,164
5,A,46,194
5,B,78,194
5,C,108,196
5,D,138,196
5,E,168,196
6,A,46,226
6,B,76,226
6,C,108,226
6,D,138,226
6,E,168,226
7,A,46,256
7,B,76,256
7,C,108,256
7,D,138,256
7,E,168,256
8,A,46,286
8,B,76,286
8,C,108,286
8,D,138,286
8,E,168,288
9,A,46,316
9,B,77,318
9,C,108,318
9,D,138,318
9,E,168,318
10,A,46,348
10,B,78,348
10,C,108,348
10,D,138,348
10,E,168,348
11,A,44,378
11,B,78,378
11,C,108,378
11,D,138,378
11,E,168,378
12,A,44,408
12,B,78,410
12,C,108,410
12,D,138,410
12,E,168,410
13,A,46,440
13,B,78,440
13,C,108,440
13,D,138,440
13,E,170,440
14,A,48,470
14,B,78,470
14,C,108,470
14,D,138,470
14,E,168,472
15,A,48,502
15,B,78,502
15,C,108,502
15,D,138,501
15,E,168,502
16,A,46,532
16,B,78,532
16,C,108,532
16,D,138,532
16,E,168,532
17,A,46,562
17,B,76,562
17,C,108,562
17,D,138,564
17,E,168,564
18,A,46,594
18,B,78,594
18,C,108,594
18,D,138,594
18,E,168,594
19,A,46,624
19,B,78,624
19,C,108,624
19,D,138,624
19,E,168,624
20,A,46,654
20,B,78,654
20,C,108,654
20,D,138,654
20,E,168,654
21,A,48,684
21,B,78,684
21,C,108,686
21,D,138,686
21,E,168,686
22,A,48,714
22,B,78,714
22,C,108,714
22,D,138,716
22,E,170,716
23,A,48,746
23,B,78,746
23,C,108,746
23,D,138,746
23,E,168,746
24,A,46,776
24,B,78,776
24,C,108,776
24,D,140,776
24,E,170,776
25,A,48,806
25,B,78,806
25,C,108,806
25,D,140,806
25,E,170,806
26,A,228,74
26,B,258,74
26,C,288,74
26,D,318,74
26,E,348,74
27,A,228,104
27,B,258,104
27,C,288,104
27,D,318,104
27,E,348,104
28,A,228,134
28,B,258,134
28,C,288,134
28,D,320,134
28,E,350,136
29,A,228,164
29,B,258,164
29,C,288,166
29,D,318,166
29,E,350,166
30,A,228,196
30,B,258,196
30,C,288,196
30,D,320,196
30,E,350,196
31,A,228,226
31,B,258,226
31,C,290,226
31,D,320,226
31,E,350,226
32,A,228,256
32,B,260,256
32,C,290,258
32,D,320,258
32,E,350,258
33,A,228,288
33,B,260,288
33,C,290,288
33,D,320,288
33,E,350,288
34,A,228,318
34,B,260,318
34,C,290,318
34,D,320,318
34,E,352,318
35,A,230,348
35,B,260,348
35,C,290,348
35,D,320,348
35,E,350,348
36,A,228,380
36,B,260,380
36,C,290,380
36,D,320,380
36,E,350,380
37,A,228,410
37,B,260,410
37,C,290,410
37,D,320,410
37,E,350,410
38,A,228,440
38,B,260,442
38,C,290,442
38,D,320,442
38,E,352,442
39,A,230,472
39,B,260,472
39,C,290,472
39,D,320,472
39,E,352,472
40,A,228,502
40,B,258,502
40,C,288,502
40,D,318,502
40,E,348,504
41,A,230,534
41,B,260,534
41,C,290,534
41,D,322,534
41,E,352,534
42,A,230,564
42,B,260,564
42,C,290,564
42,D,320,564
42,E,352,564
43,A,230,594
43,B,260,594
43,C,290,594
43,D,322,594
43,E,352,596
44,A,230,624
44,B,260,624
44,C,290,626
44,D,322,626
44,E,352,626
45,A,230,656
45,B,260,656
45,C,290,656
45,D,322,656
45,E,352,656
46,A,230,686
46,B,260,686
46,C,290,686
46,D,322,686
46,E,352,686
47,A,230,716
47,B,260,716
47,C,290,716
47,D,322,716
47,E,352,716
48,A,230,746
48,B,260,746
48,C,290,746
48,D,322,746
48,E,352,746
49,A,230,776
49,B,260,776
49,C,290,776
49,D,322,776
49,E,352,776
50,A,230,806
50,B,260,806
50,C,290,806
50,D,322,808
50,E,352,808
51,A,410,74
51,B,440,74
51,C,470,74
51,D,500,76
51,E,530,74
52,A,410,106
52,B,440,106
52,C,470,106
52,D,502,106
52,E,532,106
53,A,410,136
53,B,440,136
53,C,472,136
53,D,502,136
53,E,532,136
54,A,410,166
54,B,442,166
54,C,472,166
54,D,502,166
54,E,532,168
55,A,410,198
55,B,442,198
55,C,472,198
55,D,502,198
55,E,532,198
56,A,410,228
56,B,442,228
56,C,472,228
56,D,502,228
56,E,532,228
57,A,410,258
57,B,442,258
57,C,472,258
57,D,502,258
57,E,534,260
58,A,412,288
58,B,442,288
58,C,472,288
58,D,502,288
58,E,532,288
59,A,412,318
59,B,442,320
59,C,472,320
59,D,504,320
59,E,534,320
60,A,410,350
60,B,442,350
60,C,472,350
60,D,504,350
60,E,534,350
61,A,412,380
61,B,442,380
61,C,472,380
61,D,504,380
61,E,534,380
62,A,412,410
62,B,442,412
62,C,472,412
62,D,504,412
62,E,534,412
63,A,412,442
63,B,442,442
63,C,472,442
63,D,504,442
63,E,534,442
64,A,412,472
64,B,442,472
64,C,472,474
64,D,504,474
64,E,534,474
65,A,412,504
65,B,442,504
65,C,474,504
65,D,504,504
65,E,534,504
66,A,412,534
66,B,442,534
66,C,474,534
66,D,504,534
66,E,534,534
67,A,412,564
67,B,442,564
67,C,474,566
67,D,504,566
67,E,534,566
68,A,412,596
68,B,444,596
68,C,474,596
68,D,504,596
68,E,534,596
69,A,412,626
69,B,444,626
69,C,474,626
69,D,504,626
69,E,534,626
70,A,412,656
70,B,444,656
70,C,474,656
70,D,504,656
70,E,534,656
71,A,412,686
71,B,442,686
71,C,474,686
71,D,504,686
71,E,534,686
72,A,412,716
72,B,442,716
72,C,474,716
72,D,504,718
72,E,534,718
73,A,412,746
73,B,442,746
73,C,474,748
73,D,504,748
73,E,534,748
74,A,412,776
74,B,442,776
74,C,474,776
74,D,504,778
74,E,534,778
75,A,412,808
75,B,442,808
75,C,474,808
75,D,504,808
75,E,534,808
76,A,592,76
76,B,624,76
76,C,654,78
76,D,684,78
76,E,716,78
77,A,592,106
77,B,624,108
77,C,654,108
77,D,686,108
77,E,716,108
78,A,594,138
78,B,624,138
78,C,656,138
78,D,686,138
78,E,718,138
79,A,594,168
79,B,624,168
79,C,656,168
79,D,686,168
79,E,716,168
80,A,594,198
80,B,624,198
80,C,656,198
80,D,686,200
80,E,716,200
81,A,594,228
81,B,624,230
81,C,656,230
81,D,686,230
81,E,716,230
82,A,594,260
82,B,624,260
82,C,656,260
82,D,686,260
82,E,716,260
83,A,594,290
83,B,624,290
83,C,656,290
83,D,686,290
83,E,716,292
84,A,594,320
84,B,624,320
84,C,656,322
84,D,686,322
84,E,716,322
85,A,594,352
85,B,626,352
85,C,656,352
85,D,686,352
85,E,716,352
86,A,594,382
86,B,624,382
86,C,654,382
86,D,686,382
86,E,716,382
87,A,594,412
87,B,626,412
87,C,656,412
87,D,686,412
87,E,716,414
88,A,594,442
88,B,626,442
88,C,656,444
88,D,686,444
88,E,716,444
89,A,594,474
89,B,626,474
89,C,656,474
89,D,686,474
89,E,718,474
90,A,596,504
90,B,626,504
90,C,656,504
90,D,686,504
90,E,718,506
91,A,596,534
91,B,626,536
91,C,656,536
91,D,686,536
91,E,716,536
92,A,596,566
92,B,626,566
92,C,656,566
92,D,686,566
92,E,716,566
93,A,596,596
93,B,626,596
93,C,656,596
93,D,686,596
93,E,718,596
94,A,596,626
94,B,626,626
94,C,656,626
94,D,686,626
94,E,718,626
95,A,596,656
95,B,626,656
95,C,656,656
95,D,686,656
95,E,716,656
96,A,596,688
96,B,626,688
96,C,656,688
96,D,686,688
96,E,716,688
97,A,596,718
97,B,626,718
97,C,656,718
97,D,686,718
97,E,716,718
98,A,596,748
98,B,626,748
98,C,656,748
98,D,686,748
98,E,716,748
99,A,596,778
99,B,626,778
99,C,656,778
99,D,686,778
99,E,716,778
100,A,596,808
100,B,626,808
100,C,656,808
100,D,686,808
100,E,716,808
